cnpj,matriz_filial,nome_fantasia,situacao,data_inicio,cnae_principal,uf,municipio_cod
66.617.270/0001-54,1,,02,20260505,8219999,SP,6929
66.617.282/0001-89,1,,02,20260505,4789099,SP,6271
66.617.294/0001-03,1,,02,20260120,8112500,MG,4147
66.617.304/0001-00,1,,02,20260505,4781400,SP,7107
66.617.315/0001-90,1,,02,20260429,8593700,SP,6713
66.617.327/0001-15,1,CLUTAZ,02,20260505,4755502,SP,6131
66.617.338/0001-03,1,ASSOCIACAO DE ENERGIA JPM,02,20260410,9499500,PR,7691
66.617.349/0001-85,1,,02,20260505,8230001,RJ,6001
66.617.357/0001-21,1,,02,20260505,8630503,SP,6213
66.617.369/0001-56,1,,02,20260505,9602501,RJ,2923
66.617.380/0001-16,1,ASAFE PINTURAS,02,20260505,4399101,SP,6883
66.617.392/0001-40,1,,02,20260505,4930202,SP,6313
66.617.402/0001-48,1,LUA CAMPELO IMOVEIS,02,20260505,6821801,PR,7535
09.299.839/0005-70,2,,02,20260505,4741500,MG,4265
66.617.420/0001-20,1,,02,20260505,5620104,PE,2513
66.617.431/0001-00,1,,02,20260505,5320201,SP,6921
66.617.442/0001-90,1,,02,20260505,7723300,RS,8599
66.617.451/0001-80,1,,02,20260505,9602501,SC,8105
66.617.462/0001-60,1,,02,20260505,8230001,SP,6425
66.617.474/0001-95,1,,02,20260505,8230001,ES,5625
66.617.484/0001-20,1,,02,20260505,5611201,PR,7969
66.617.494/0001-66,1,,02,20260505,0230600,MS,9141
66.617.505/0001-08,1,,02,20260505,5620104,MG,5091
66.617.517/0001-32,1,ATLAS TACOGRAFOS,02,20260505,4530703,BA,3117
66.617.527/0001-78,1,,02,20260505,7911200,SP,6291
66.617.537/0001-03,1,,02,20260505,4930202,SP,2951
66.617.547/0001-49,1,,02,20260505,4789003,RS,8599
66.617.558/0001-29,1,,02,20260505,3299099,SC,0890
66.617.569/0001-09,1,,02,20260505,8219999,MG,4595
66.617.581/0001-13,1,,02,20260505,5320202,MG,5397
66.617.592/0001-01,1,,02,20260505,8599699,AC,0107
66.617.603/0001-45,1,,02,20260505,7319002,MG,5403
66.617.616/0001-14,1,,02,20260505,4399199,DF,9701
66.617.627/0001-02,1,,02,20260505,5320202,RJ,6001
66.617.638/0001-84,1,,02,20260504,4530703,SP,7107
66.617.647/0001-75,1,,02,20260505,9511800,RS,8883
66.617.659/0001-08,1,,02,20260505,8599604,MG,4733
66.617.670/0001-60,1,,02,20260505,4723700,MG,4751
66.617.681/0001-40,1,RESTAURANTE AR DE MINAS,02,20260505,5611201,SP,6369
66.617.692/0001-20,1,,02,20260505,0161003,SP,6221
39.810.916/0002-23,2,,02,20260505,4789004,ES,5625
66.617.714/0001-51,1,,02,20260505,5099801,RJ,5801
66.617.725/0001-31,1,,02,20260505,5620104,RJ,5833
66.617.735/0001-77,1,,02,20260504,6821802,MG,4733
66.617.746/0001-57,1,CAROL STORE BOCAIUVA.,02,20260430,4781400,MG,4145
65.085.620/0001-16,1,,08,20260211,1351100,AM,0255
66.617.768/0001-17,1,,02,20260505,5320201,RS,8835
66.617.779/0001-05,1,,02,20260505,8599603,BA,3849
62.235.860/0001-61,1,STACKOVSKI ODONTOLOGIA,02,20250814,6821801,SC,8089
39.402.763/0002-85,2,,02,20260505,4771701,ES,5629
66.617.809/0001-75,1,,02,20260505,5611201,AM,0255
66.617.818/0001-66,1,,02,20260505,4399103,DF,9701
66.617.588/0001-35,1,,02,20260505,9602502,RJ,6001
66.617.839/0001-81,1,JR REVISOES E MANUTENCOES DE MAQUINAS PESADAS,02,20260504,2539001,MT,1048
66.617.850/0001-41,1,,02,20260505,5590699,RS,7375
66.617.862/0001-76,1,,02,20260505,0161003,MT,0097
66.617.872/0001-01,1,,02,20260505,8219999,PR,7769
66.617.882/0001-47,1,RESIDENCIAL NOVA BATALHA,02,20250624,4110700,PI,1029
66.617.893/0001-27,1,,02,20260504,8550302,SP,6967
66.617.905/0001-13,1,,08,20260505,9602501,SP,7121
66.202.543/0001-08,1,,08,20260411,5620104,MG,4133
66.617.925/0001-94,1,,02,20260505,4530703,MS,9063
66.617.936/0001-74,1,,02,20260505,8219999,PR,7535
66.617.948/0001-07,1,,02,20260505,4772500,SC,8113
66.617.959/0001-89,1,,02,20260505,5320202,SP,7107
65.857.004/0001-36,1,,08,20260324,4930201,SP,6589
66.617.979/0001-50,1,,02,20260505,1412601,AM,0255
66.617.990/0001-10,1,,02,20260505,8219999,RJ,6001
66.618.002/0001-57,1,,02,20260505,4330402,RN,1651
66.618.012/0001-92,1,,02,20260505,5320201,BA,3669
66.618.023/0001-72,1,,02,20260505,4923001,SP,7107
66.618.035/0001-05,1,,02,20260505,4322302,RJ,5865
66.618.046/0001-87,1,,02,20260505,8599604,SP,6979
66.618.056/0001-12,1,,02,20260505,4330404,PR,7535
66.618.068/0001-47,1,,02,20260505,3321000,PA,0563
66.618.078/0001-82,1,,02,20260505,8599699,SP,7197
66.618.088/0001-18,1,,02,20260505,3212400,RJ,5869
66.618.099/0001-06,1,,02,20260505,4399103,RJ,5897
66.618.110/0001-20,1,,02,20260505,4923002,PA,0567
07.915.794/0058-06,2,,02,20260505,0113000,SP,6465
66.618.129/0001-76,1,,02,20260505,5320202,SP,6723
66.618.140/0001-36,1,,02,20260505,9700500,RS,8683
66.618.151/0001-16,1,,02,20260505,1412601,SP,6469
66.618.161/0001-51,1,,02,20260505,9602501,SP,7057
66.618.172/0001-31,1,OLIVERS PIZZA RJ,02,20260504,5611201,RJ,6001
66.618.184/0001-66,1,,02,20260505,7420001,SP,6921
66.618.195/0001-46,1,00020ADMINISTRACAO,02,20260505,8211300,RS,8785
66.618.205/0001-43,1,OBRATTO MATERIAL DECONSTRUCAO,02,20260505,4744099,RJ,5833
66.618.217/0001-78,1,GB PREMIOS,02,20260505,7319003,SP,7107
66.618.228/0001-58,1,,02,20260505,7420001,SC,8117
66.618.239/0001-38,1,,02,20260505,4729699,RJ,5915
66.618.250/0001-06,1,,02,20260505,4923001,MG,5155
66.618.261/0001-88,1,,02,20260505,0161003,MG,0670
66.618.272/0001-68,1,,02,20260505,9609299,RS,8633
66.618.284/0001-92,1,,02,20260505,7420001,MG,5403
66.618.294/0001-28,1,,02,20260505,4923002,RJ,6001
66.618.304/0001-25,1,,02,20260505,1412602,MG,5441
66.618.316/0001-50,1,,02,20260505,4330404,ES,5625
66.618.327/0001-30,1,CONDOMINIO LE VOYAGE RESIDENCE,02,20260317,8112500,SC,8163
66.618.338/0001-10,1,,02,20260505,8592999,RJ,5899
